Temp,Time,39Ar,40Ar,Age,Age_Err
650,12,262.58,12587.02,126.59,0.67
680,12,171.67,8121.7,138.86,0.7
710,12,249.33,10714.18,138.38,0.68
735,12,251.74,10789.96,138,0.68
770,12,270.56,11009.15,135.12,0.65
810,12,182.74,7096.5,129.32,0.63
845,12,147.72,5755.43,129.11,0.63
875,12,157.16,6302.58,133.14,0.64
910,12,261.64,10629.92,135.16,0.65
950,12,370.62,13161.78,119.81,0.58
980,12,187.8,5508.43,100.14,0.49
1020,12,56.16,1560.6,94.55,0.46
1070,12,20.93,560.38,89.22,0.48
1400,12,21.43,619.77,88.92,0.48
