temp2,time2,ar392,ar402,age2,age_err2
725,12,104.06,6223.25,108.19,0.66
775,12,101.34,3596.88,112.79,0.5
820,12,199.84,6747.15,111.24,0.49
840,12,222.71,6878.87,107.21,0.46
860,12,326,10333.14,111.16,0.48
880,12,390.95,12696.05,114.4,0.49
895,12,349.4,11334.81,114.17,0.49
915,12,264.72,8611.95,114.17,0.49
935,12,224.23,7364.71,114.92,0.49
955,12,185.88,6145.37,115.39,0.49
975,12,133.25,4264.68,111.55,0.48
1000,12,105.04,3322.4,110.41,0.46
1030,12,94.9,2923.93,107.64,0.46
1100,12,161.59,4276.64,93.46,0.4
1400,12,94.02,2371.22,83.81,0.37
