Temp,Time,39Ar,40Ar,Age,Age_Err
650,12,145.58,6347.89,96.28,0.55
680,12,118.42,5409.45,115.11,0.62
710,12,156.87,5697.01,112.35,0.55
735,12,171.3,5634.78,108.92,0.52
770,12,196.41,5887.36,101.97,0.48
810,12,201.95,5561.05,92.9,0.44
845,12,136.92,3905.28,96.12,0.46
875,12,115.65,3437.56,100.42,0.48
910,12,126.55,3960.6,105.6,0.5
950,12,173.05,5174.4,101.19,0.48
980,12,197.42,4933.76,86.18,0.41
1020,12,264.46,5950.01,78.55,0.37
1070,12,348.15,7516.17,75.66,0.36
1400,12,252.19,5569.67,75.63,0.36
